<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Agnin 38003
Saint-Baudille-et-Pipet 38366
Saint-Bernard 38367
Saint-Blaise-du-Buis 38368
Saint-Bonnet-de-Chavagne 38370
Saint-Bonnet-de-Mure 38371=69287
Saint-Bueil 38372
Saint-Cassien 38373
Saint-Chef 38374
Saint-Christophe-en-Oisans 38375
Saint-Christophe-sur-Guiers 38376
Saint-Clair-de-la-Tour 38377
Saint-Clair-du-Rhône 38378
Saint-Clair-sur-Galaure 38379
Saint-Didier-de-Bizonnes 38380
Saint-Didier-de-la-Tour 38381
Saint-Égrève 38382
Saint-Étienne-de-Crossey 38383
Saint-Étienne-de-Saint-Geoirs 38384
Saint-Genis 38385=38226
Saint-Geoire-en-Valdaine 38386
Saint-Geoirs 38387
Saint-Georges-d'Espéranche 38389
Saint-Georges-de-Commiers 38388
Saint-Gervais 38390
Saint-Guillaume 38391
Saint-Hilaire 38395
Saint-Hilaire-de-Brens 38392
Saint-Hilaire-de-la-Côte 38393
Saint-Hilaire-du-Rosier 38394
Saint-Honoré 38396
Saint-Ismier 38397
Saint-Jean-d'Avelanne 38398
Saint-Jean-d'Hérans 38403
Saint-Jean-de-Bournay 38399
Saint-Jean-de-Moirans 38400
Saint-Jean-de-Soudain 38401
Saint-Jean-de-Vaulx 38402
Saint-Jean-le-Vieux 38404
Saint-Joseph-de-Rivière 38405
Saint-Julien-de-l'Herms 38406
Saint-Julien-de-Raz 38407
Saint-Just-Chaleyssin 38408
Saint-Just-de-Claix 38409
Saint-Lattier 38410
Saint-Laurent-de-Mure 38411=69288
Saint-Laurent-du-Pont 38412
Saint-Laurent-en-Beaumont 38413
Saint-Marcel-Bel-Accueil 38415
Saint-Marcellin 38416
Saint-Martin-d'Hères 38421
Saint-Martin-d'Uriage 38422
Saint-Martin-de-Clelles 38419
Saint-Martin-de-la-Cluze 38115
Saint-Martin-de-Vaulserre 38420
Saint-Martin-le-Vinoux 38423
Saint-Maurice-en-Trièves 38424
Saint-Maurice-l'Exil 38425
Saint-Maximin 38426
Saint-Michel-de-Saint-Geoirs 38427
Saint-Michel-en-Beaumont 38428
Saint-Michel-les-Portes 38429
Saint-Mury-Monteymond 38430
Saint-Nazaire-les-Eymes 38431
Saint-Nicolas-de-Macherin 38432
Saint-Nizier-du-Moucherotte 38433
Saint-Ondras 38434
Saint-Pancrasse 38435
Saint-Paul-d'Izeaux 38437
Saint-Paul-de-Varces 38436
Saint-Paul-lès-Monestier 38438
Saint-Pierre-d'Allevard 38439
Saint-Pierre-d'Entremont 38446
Saint-Pierre-de-Bressieux 38440
Saint-Pierre-de-Chandieu 38441=69289
Saint-Pierre-de-Chartreuse 38442
Saint-Pierre-de-Chérennes 38443
Saint-Pierre-de-Méaroz 38444
Saint-Pierre-de-Mésage 38445
Saint-Priest 38447=69290
Saint-Prim 38448
Saint-Quentin-Fallavier 38449
Saint-Quentin-sur-Isère 38450
Saint-Romain-de-Jalionas 38451
Saint-Romain-de-Surieu 38452
Saint-Romans 38453
Saint-Sauveur 38454
Saint-Savin 38455
Saint-Sébastien 38456
Saint-Siméon-de-Bressieux 38457
Saint-Sorlin-de-Morestel 38458
Saint-Sorlin-de-Vienne 38459
Saint-Sulpice-des-Rivoires 38460
Saint-Symphorien-d'Ozon 38461=69291
Saint-Théoffrey 38462
Saint-Vérand 38463
Saint-Victor-de-Cessieu 38464
Saint-Victor-de-Morestel 38465
Saint-Vincent-de-Mercuze 38466
Sainte-Agnès 38350
Sainte-Anne-sur-Gervonde 38358
Sainte-Blandine 38369
Sainte-Luce 38414
Sainte-Marie-d'Alloix 38417
Sainte-Marie-du-Mont 38418
Salagnon 38467
Salaise-sur-Sanne 38468
Sarcenas 38472
Sardieu 38473
Sassenage 38474
Satolas-et-Bonce 38475
Savas-Mépin 38476
Savel 38477=38224
Séchilienne 38478
Semons 38479
Septème 38480
Sérézin-de-la-Tour 38481
Sérézin-du-Rhône 38482=69294
Sermérieu 38483
Serpaize 38484
Serre-Nerpol 38275
Seyssinet-Pariset 38485
Seyssins 38486
Seyssuel 38487
Siccieu-Saint-Julien-et-Carisieu 38488
Siévoz 38489
Sillans 38490
Simandres 38491=69295
Sinard 38492
Solaize 38493=69296
Soleymieu 38494
Sonnay 38496
Sousville 38497
Succieu 38498
Susville 38499
Têche 38500
Tencin 38501
Ternay 38502=69297
Theys 38504
Thodure 38505
Thuellin 38506=38541
Tignieu-Jameyzieu 38507
Torchefelon 38508
Toussieu 38510=69298
Tramolé 38512
Treffort 38513
Tréminis 38514
Trept 38515
Tullins 38517
Valbonnais 38518
Valencin 38519
Valencogne 38520
Valjouffrey 38522
Varacieux 38523
Varces-Allières-et-Risset 38524
Vasselin 38525
Vatilieu 38526
Vaujany 38527
Vaulnaveys-le-Bas 38528
Vaulnaveys-le-Haut 38529
Vaulx-Milieu 38530
Velanne 38531
Vénérieu 38532
Venon 38533
Vénosc 38534
Vernas 38535
Vernioz 38536
Vertrieu 38539
Veurey-Voroize 38540
Veyrins-Thuellin 38541
Veyssilieu 38542
Vézeronce-Curtin 38543
Vienne 38544
Vif 38545
Vignieu 38546
Villard-Bonnot 38547
Villard-de-Lans 38548
Villard-Notre-Dame 38549
Villard-Reculas 38550
Villard-Reymond 38551
Villard-Saint-Christophe 38552
Ville-sous-Anjou 38556
Villefontaine 38553
Villemoirieu 38554
Villeneuve-de-Marc 38555
Villette-d'Anthon 38557
Villette-de-Vienne 38558
Vinay 38559
Virieu 38560
Viriville 38561
Vizille 38562
Voiron 38563
Voissant 38564
Voreppe 38565
Vourey 38566
