Level;Country;Place;void;void;Longitude;Latitude;ZoomLevel;Icon
1;IOM;Garey;;;W4.43;N54.32;10;
1;IOM;Glass;;;W4.50;N54.15;10;
1;IOM;Glen Auldyn;;;W4.41;N54.30;10;
1;IOM;Glen Mona;;;W4.38;N54.26;10;
1;IOM;Glenchass;;;W4.76;N54.06;10;
1;IOM;Glenmaye;;;W4.71;N54.17;10;
1;IOM;Glentruan;;;W4.40;N54.38;10;
1;IOM;Hillberry;;;W4.48;N54.18;10;
1;IOM;Isle of Man;;;W4.47;N54.25;10;
1;IOM;Jerby East;;;W4.49;N54.36;10;
1;IOM;Jurby Head;;;W4.53;N54.35;10;
1;IOM;Jurby West;;;W4.54;N54.35;10;
1;IOM;Kella;;;W4.47;N54.32;10;
1;IOM;Keristal;;;W4.52;N54.12;10;
1;IOM;Kerroogarroo;;;W4.47;N54.34;10;
1;IOM;Kirby;;;W4.51;N54.15;10;
1;IOM;Kirk Michael;;;W4.59;N54.27;10;
1;IOM;Knocksharry;;;W4.65;N54.23;10;
1;IOM;Laxey;;;W4.41;N54.22;10;
1;IOM;Lhen;;;W4.49;N54.37;10;
1;IOM;Lower Foxdale;;;W4.65;N54.17;10;
1;IOM;Maughold;;;W4.32;N54.29;10;
1;IOM;Maughold Head;;;W4.31;N54.29;10;
1;IOM;Minorca;;;W4.41;N54.22;10;
1;IOM;Mooragh;;;W4.38;N54.31;10;
1;IOM;Neb;;;W4.69;N54.18;10;
1;IOM;Newtown;;;W4.57;N54.12;10;
1;IOM;Old Laxey;;;W4.39;N54.21;10;
1;IOM;Onchan;;;W4.46;N54.17;10;
1;IOM;Orrisdale;;;W4.58;N54.30;10;
1;IOM;Patrick;;;W4.69;N54.19;10;
1;IOM;Peel;;;W4.70;N54.22;10;
1;IOM;Point of Ayre;;;W4.37;N54.41;10;
1;IOM;Port e Vullen;;;W4.35;N54.30;10;
1;IOM;Port Erin;;;W4.76;N54.08;10;
1;IOM;Port St Mary;;;W4.75;N54.06;10;
1;IOM;Pulrose;;;W4.51;N54.14;10;
1;IOM;Quine's Hill;;;W4.54;N54.12;10;
1;IOM;Ramsey;;;W4.38;N54.31;10;
1;IOM;Regaby;;;W4.41;N54.34;10;
1;IOM;Rhencullen;;;W4.58;N54.28;10;
1;IOM;Rue Point;;;W4.46;N54.39;10;
1;IOM;Sandygate;;;W4.50;N54.34;10;
1;IOM;Santon Head;;;W4.55;N54.10;10;
1;IOM;Sartfield;;;W4.54;N54.36;10;
1;IOM;Silver Burn;;;W4.63;N54.10;10;
1;IOM;Spring Valley;;;W4.52;N54.14;10;
1;IOM;St John's;;;W4.65;N54.19;10;
1;IOM;St Judes;;;W4.47;N54.33;10;
1;IOM;St Mark's;;;W4.61;N54.13;10;
1;IOM;Strang;;;W4.51;N54.17;10;
1;IOM;Sulby;;;W4.42;N54.31;10;
1;IOM;Sulby;;;W4.49;N54.31;10;
1;IOM;Surby;;;W4.75;N54.09;10;
1;IOM;The Lhen Trench;;;W4.50;N54.32;10;
1;IOM;Tromode;;;W4.49;N54.16;10;
1;IOM;Union Mills;;;W4.52;N54.16;10;
